pid,date,dekad,B02,B03,B04,B05,B08,B11,n_clean_scl
48466,2022-01-17,1,367.3333333333333,528.8888888888889,413.44444444444446,916.7777777777778,2367.6666666666665,1319.111111111111,9
48469,2022-01-17,1,374.3333333333333,565.0,541.6666666666666,1073.3333333333333,2293.3333333333335,1413.6666666666667,6
48470,2022-01-17,1,598.0,940.6,677.6,1541.5714285714287,3574.4,1694.4285714285713,7
48471,2022-01-17,1,382.22222222222223,664.0,476.8888888888889,1225.5555555555557,3008.6666666666665,1377.3333333333333,9
48472,2022-01-17,1,436.0,654.8888888888889,529.8888888888889,1224.3333333333333,3602.0,1798.6666666666667,9
48473,2022-01-17,1,490.22222222222223,826.2222222222222,482.44444444444446,1217.3333333333333,3081.6666666666665,1533.2222222222222,9
48474,2022-01-17,1,472.5,736.3333333333334,590.3333333333334,1319.6666666666667,2283.3333333333335,1163.3333333333333,3
48475,2022-01-17,1,429.0,651.4444444444445,322.8888888888889,1128.5555555555557,3923.3333333333335,1490.4444444444443,9
48476,2022-01-17,1,357.1111111111111,638.3333333333334,313.44444444444446,1142.7777777777778,3734.222222222222,1317.7777777777778,9
48479,2022-01-17,1,448.1111111111111,835.7777777777778,344.3333333333333,1481.4444444444443,4432.333333333333,1523.7777777777778,9
48481,2022-01-17,1,496.55555555555554,809.2222222222222,541.2222222222222,1229.6666666666667,2994.222222222222,1476.111111111111,9
48482,2022-01-17,1,476.0,601.5555555555555,399.0,1039.5555555555557,3545.222222222222,1133.888888888889,9
48483,2022-01-17,1,296.77777777777777,524.8888888888889,217.44444444444446,876.5555555555555,3980.8888888888887,1533.2222222222222,9
48485,2022-01-17,1,511.77777777777777,854.6666666666666,528.3333333333334,1302.7777777777778,3258.6666666666665,1898.5555555555557,9
48487,2022-01-17,1,533.7777777777778,882.0,465.44444444444446,1405.0,3962.1111111111113,1688.7777777777778,9
48488,2022-01-17,1,416.77777777777777,699.0,367.6666666666667,1146.4444444444443,4251.333333333333,1752.7777777777778,9
48489,2022-01-17,1,484.22222222222223,686.5555555555555,643.2222222222222,1168.888888888889,2682.1111111111113,1530.5555555555557,9
48490,2022-01-17,1,465.6666666666667,772.1111111111111,444.8888888888889,1168.2222222222222,2901.8888888888887,1250.7777777777778,9
48491,2022-01-17,1,352.22222222222223,594.3333333333334,265.3333333333333,962.0,4822.888888888889,1310.2222222222222,9
48493,2022-01-17,1,309.44444444444446,426.0,340.0,738.7777777777778,1839.888888888889,1153.6666666666667,9
48494,2022-01-17,1,401.7142857142857,446.57142857142856,361.0,810.4,1849.5714285714287,1246.6,5
48496,2022-01-17,1,570.5,721.0,793.5,1247.3333333333333,2387.0,1978.0,3
48499,2022-01-17,1,534.0,760.3333333333334,715.0,1366.142857142857,2425.0,1747.4285714285713,7
48502,2022-01-17,1,617.75,737.75,877.0,0,1610.25,0,1
48504,2022-01-17,1,450.3333333333333,703.4444444444445,354.44444444444446,1068.2222222222222,3165.4444444444443,1266.4444444444443,9
48506,2022-01-17,1,451.55555555555554,647.0,506.44444444444446,1043.5,2730.777777777778,1547.5,8
48507,2022-01-17,1,511.0,695.6666666666666,616.7777777777778,1122.111111111111,2290.5555555555557,1631.111111111111,9
48508,2022-01-17,1,375.77777777777777,598.3333333333334,450.44444444444446,1023.2222222222222,3116.4444444444443,1379.0,9
48510,2022-01-17,1,448.0,544.1666666666666,570.5,964.6666666666666,1894.6666666666667,1472.0,3
48511,2022-01-17,1,533.3333333333334,853.1111111111111,405.44444444444446,1294.888888888889,3795.222222222222,1252.3333333333333,9
48512,2022-01-17,1,311.0,468.77777777777777,172.22222222222223,813.8888888888889,4247.333333333333,1357.4444444444443,9
48513,2022-01-17,1,473.0,757.5555555555555,475.55555555555554,1237.3333333333333,4286.555555555556,1599.7777777777778,9
48515,2022-01-17,1,493.1111111111111,868.3333333333334,410.6666666666667,1273.5555555555557,3783.222222222222,1381.111111111111,9
48519,2022-01-17,1,401.8888888888889,639.5555555555555,367.55555555555554,1101.888888888889,4311.888888888889,1585.7777777777778,9
48520,2022-01-17,1,520.8888888888889,834.8888888888889,462.3333333333333,1279.111111111111,3522.0,1464.6666666666667,9
48521,2022-01-17,1,485.22222222222223,782.0,447.6666666666667,1206.6666666666667,3425.0,1212.0,9
48523,2022-01-17,1,508.44444444444446,693.7777777777778,601.5555555555555,1135.5555555555557,2152.8888888888887,1537.6666666666667,9
48524,2022-01-17,1,419.0,609.75,602.0,1024.5,1703.75,1489.5,2
48526,2022-01-17,1,518.8888888888889,730.7777777777778,494.44444444444446,1193.5555555555557,2777.8888888888887,1309.7777777777778,9
48527,2022-01-17,1,522.2222222222222,853.0,385.0,1244.888888888889,3879.222222222222,1353.111111111111,9
48548,2022-01-17,1,548.4444444444445,782.2222222222222,429.77777777777777,1121.3333333333333,2836.5555555555557,1144.6666666666667,9
48549,2022-01-17,1,524.0,541.75,584.0,0,1200.75,0,1
48550,2022-01-17,1,505.1111111111111,753.4444444444445,458.0,1069.375,2550.6666666666665,1123.25,8
48553,2022-01-17,1,490.1111111111111,730.0,658.7777777777778,1112.5555555555557,2592.1111111111113,1421.111111111111,9
48556,2022-01-17,1,338.8333333333333,431.8333333333333,464.0,789.3333333333334,1876.1666666666667,1235.3333333333333,3
48557,2022-01-17,1,588.1111111111111,752.4444444444445,598.0,1128.375,2490.222222222222,1270.375,8
48564,2022-01-17,1,405.6,586.2,523.4,1002.8333333333334,1957.0,1323.6666666666667,6
48565,2022-01-17,1,429.0,777.3333333333334,389.8888888888889,1156.0,3809.1111111111113,1255.0,9
48566,2022-01-17,1,481.77777777777777,768.4444444444445,602.7777777777778,1350.0,3280.222222222222,1324.3333333333333,9
