pid,date,dekad,B04,B08,B05,B11
3302,2025-01-02,0,626.3333333333334,2054.222222222222,1120.4444444444443,1548.7777777777778
3303,2025-01-02,0,1105.3333333333333,1569.3333333333333,1273.5555555555557,1367.2222222222222
3304,2025-01-02,0,296.1111111111111,2849.1111111111113,900.0,1321.0
3305,2025-01-02,0,1027.888888888889,1405.3333333333333,1179.4444444444443,1528.3333333333333
3306,2025-01-02,0,1086.6666666666667,1689.3333333333333,1396.2222222222222,1904.7777777777778
3319,2025-01-02,0,623.1111111111111,2702.4444444444443,1326.111111111111,1419.4444444444443
3320,2025-01-02,0,585.4444444444445,2147.3333333333335,1018.1111111111111,1248.6666666666667
3321,2025-01-02,0,656.4444444444445,2606.222222222222,1246.3333333333333,1500.0
3322,2025-01-02,0,553.1111111111111,2140.6666666666665,1069.111111111111,1318.888888888889
3323,2025-01-02,0,385.77777777777777,708.0,495.44444444444446,649.8888888888889
3324,2025-01-02,0,478.6666666666667,4298.222222222223,1619.5555555555557,1352.2222222222222
3325,2025-01-02,0,661.4444444444445,1359.3333333333333,943.3333333333334,1404.3333333333333
3326,2025-01-02,0,210.0,2262.222222222222,696.3333333333334,921.8888888888889
3327,2025-01-02,0,217.22222222222223,3521.3333333333335,967.0,1331.111111111111
3328,2025-01-02,0,444.77777777777777,2088.6666666666665,921.8888888888889,1398.111111111111
3329,2025-01-02,0,448.8888888888889,2501.3333333333335,1032.888888888889,1138.3333333333333
3330,2025-01-02,0,518.7777777777778,2834.6666666666665,1227.0,1482.5555555555557
3332,2025-01-02,0,372.44444444444446,3258.6666666666665,1107.6666666666667,1373.3333333333333
3333,2025-01-02,0,722.3333333333334,1739.5555555555557,1088.6666666666667,1588.111111111111
3334,2025-01-02,0,507.55555555555554,2342.0,1042.7777777777778,1651.111111111111
3532,2025-01-02,0,606.6666666666666,1323.7777777777778,868.8888888888889,1434.111111111111
3555,2025-01-02,0,364.77777777777777,2346.4444444444443,1030.3333333333333,1132.5555555555557
3571,2025-01-02,0,341.77777777777777,1789.7777777777778,702.7777777777778,585.2222222222222
3572,2025-01-02,0,940.7777777777778,1707.7777777777778,1296.2222222222222,1398.4444444444443
3574,2025-01-02,0,834.1111111111111,1887.7777777777778,1231.5555555555557,1802.111111111111
3579,2025-01-02,0,697.5555555555555,1834.4444444444443,987.5555555555555,1438.5555555555557
3586,2025-01-02,0,655.6666666666666,1288.4444444444443,820.8888888888889,1516.2222222222222
3591,2025-01-02,0,756.3333333333334,1444.6666666666667,986.4444444444445,1316.6666666666667
3645,2025-01-02,0,1186.888888888889,1879.7777777777778,1467.3333333333333,1881.2222222222222
3673,2025-01-02,0,752.2222222222222,1383.3333333333333,972.5555555555555,1567.2222222222222
3675,2025-01-02,0,663.1111111111111,2367.3333333333335,1173.111111111111,1586.3333333333333
3692,2025-01-02,0,553.1111111111111,2880.6666666666665,1210.7777777777778,1602.6666666666667
3726,2025-01-02,0,729.0,2029.3333333333333,1172.7777777777778,1487.3333333333333
3728,2025-01-02,0,678.3333333333334,1659.111111111111,965.0,1755.6666666666667
3729,2025-01-02,0,494.3333333333333,2327.5555555555557,1068.3333333333333,1204.3333333333333
3732,2025-01-02,0,896.3333333333334,1488.2222222222222,1133.111111111111,1433.2222222222222
3734,2025-01-02,0,456.3333333333333,2912.4444444444443,1267.2222222222222,1437.6666666666667
3735,2025-01-02,0,465.55555555555554,2543.5555555555557,1081.5555555555557,1216.7777777777778
3736,2025-01-02,0,772.6666666666666,1397.111111111111,1164.888888888889,1573.3333333333333
3764,2025-01-02,0,490.1111111111111,1710.4444444444443,956.3333333333334,1211.7777777777778
3769,2025-01-02,0,208.66666666666666,3695.5555555555557,896.3333333333334,1312.6666666666667
3778,2025-01-02,0,585.0,3445.1111111111113,1253.888888888889,1387.111111111111
3781,2025-01-02,0,646.7777777777778,2228.4444444444443,1162.3333333333333,1519.7777777777778
3789,2025-01-02,0,547.8888888888889,2082.222222222222,1161.5555555555557,1429.3333333333333
3813,2025-01-02,0,444.3333333333333,1838.0,881.3333333333334,1455.888888888889
3824,2025-01-02,0,616.3333333333334,2509.777777777778,1220.2222222222222,2255.5555555555557
3825,2025-01-02,0,595.7777777777778,2014.2222222222222,1055.2222222222222,1410.7777777777778
3842,2025-01-02,0,420.77777777777777,3370.222222222222,1218.3333333333333,1490.4444444444443
4160,2025-01-02,0,659.8888888888889,2991.3333333333335,1488.5555555555557,1808.111111111111
4161,2025-01-02,0,684.2222222222222,1306.4444444444443,874.2222222222222,1072.3333333333333
4162,2025-01-02,0,392.77777777777777,2836.222222222222,1047.4444444444443,1309.111111111111
4163,2025-01-02,0,469.0,2123.3333333333335,954.2222222222222,1447.888888888889
4164,2025-01-02,0,671.2222222222222,2252.222222222222,1182.6666666666667,1592.0
4165,2025-01-02,0,275.77777777777777,1547.3333333333333,707.0,919.1111111111111
4167,2025-01-02,0,449.44444444444446,1986.4444444444443,929.1111111111111,1285.6666666666667
4173,2025-01-02,0,538.1111111111111,2287.777777777778,1010.2222222222222,1320.7777777777778
4174,2025-01-02,0,511.0,1877.5555555555557,1028.5555555555557,1219.6666666666667
4183,2025-01-02,0,792.6666666666666,1861.7777777777778,1079.888888888889,1481.7777777777778
4184,2025-01-02,0,634.5555555555555,3156.4444444444443,1127.5555555555557,1357.6666666666667
